Ticker,Date,Pos,Neu,Neg,Normalized,Close,Returns,12-day Rolling,5-day Rolling,3-day Rolling,12-day Rolling Std,5-day Rolling Std,3-day Rolling Std,difference 1-day,difference 3-days,direction 1-day,direction 3-days
CL,2019-11-01,0.153,0.825,0.022,1,66.81,-0.026093294460641236,-0.0012183322538740586,-0.004623181936097831,-0.005361450216893789,0.012132792443730602,0.01565421672007418,0.0185625406276638,-1.789999999999992,-1.1099999999999994,0,0
CLX,2019-10-31,0.172,0.798,0.03,1,147.69,-0.02062334217506645,-0.0002584470628382481,-0.00405249386735731,-0.006782154905772719,0.008637746643014576,0.011558713909284075,0.014885795272189372,-3.1100000000000136,-3.0800000000000125,0,0
CMA,2019-10-16,0.117,0.852,0.031,1,65.49,-0.022537313432835937,-0.00046632132284848044,0.00927498831319209,0.0008650927881885077,0.01908044911694651,0.020943225555107137,0.02468691572796962,-1.5100000000000051,0.12999999999999545,0,1
CMCSA,2019-10-24,0.133,0.853,0.014,1,44.84,-0.01924759405074361,0.0014261257929029103,-0.004742777015996258,-0.009022481370351332,0.011198268171379528,0.011080744679696391,0.009291778674709806,-0.8799999999999955,-1.2399999999999949,0,0
CMG,2019-10-22,0.143,0.849,0.008,1,831.07,-0.02403880029123695,0.0008014582233823453,0.001146609297213197,0.0009616349172775948,0.013399144206547257,0.01585927420619298,0.021703010509963823,-20.469999999999914,2.0,0,1
CMI,2019-10-29,0.089,0.877,0.033,1,177.12,-0.016163972671221494,0.007119616518089557,0.0023584517512347247,0.003302775182568052,0.01033598971977441,0.012423673813113028,0.017468694378645115,-2.9099999999999966,1.6899999999999977,0,1
CMS,2019-10-24,0.124,0.858,0.018,1,64.45,0.01832832990993838,0.00048003834310040666,0.00244576437025279,0.0026613381962094693,0.007575256030823369,0.009915241818589531,0.013677528185623723,1.1600000000000037,0.5,1,1
CNC,2019-10-22,0.1,0.883,0.016,1,48.75,0.06510814944286647,0.009704002007376164,0.01567672291312212,0.011690682537876937,0.025774883285976286,0.03521891051143849,0.047064201051726054,2.979999999999997,1.5700000000000003,1,1
CNP,2019-11-07,0.119,0.867,0.014,1,29.0,0.00799443865137306,-0.0007788297010452953,-0.00047050293840622537,0.001052653622888311,0.010441655934384392,0.005380476146642932,0.006937382638177676,0.23000000000000043,0.08999999999999986,1,1
COF,2019-10-24,0.116,0.862,0.021,1,91.98,-0.008729388942773975,0.007237321108613683,0.004379680005960696,0.002434990264950976,0.009894988157445158,0.010044712751579418,0.009740526808721946,-0.8100000000000023,0.6600000000000108,0,1
COG,2019-10-25,0.124,0.859,0.017,1,18.81,0.018959913326110467,0.006845678676426437,0.009445556816512112,0.005240057205179689,0.00956478099742186,0.010272375305850722,0.011991656001785703,0.34999999999999787,0.28999999999999915,1,1
COO,2019-08-29,0.132,0.852,0.016,1,328.59,0.023740536498737974,-0.002792929237277947,-0.0005910736445386755,0.0045885084636888935,0.014119319651739072,0.019723273805864583,0.020250611003184447,7.619999999999948,4.349999999999966,1,1
COP,2019-10-29,0.105,0.875,0.021,1,57.09,0.02532327586206895,0.001094519853113013,0.002017476067766477,0.0056054974915885625,0.016600903969680475,0.01416511990049756,0.01870589387827663,1.4100000000000037,0.9300000000000068,1,1
COTY,2019-11-06,0.137,0.84,0.022,1,13.02,0.1361256544502616,0.011281313112947333,0.02431909334855862,0.03938241978829412,0.04158100805540385,0.06316406575924965,0.08436059582145956,1.5599999999999987,1.3499999999999996,1,1
CPB,2019-08-30,0.144,0.839,0.017,1,45.0,0.039021011313784326,0.006990926269140811,0.01085567358128985,0.023015360235528342,0.01754148707539609,0.02324373153969731,0.02186901817583277,1.6899999999999977,2.950000000000003,1,1
CPRT,2019-11-21,0.132,0.848,0.021,1,87.85,0.034503061705134064,0.005607948995588964,0.004823357525775984,0.00733986826809067,0.015137647268607819,0.01859622637184839,0.0258267688366037,2.9299999999999926,1.8499999999999943,1,1
CRM,2019-08-22,0.117,0.875,0.009,1,148.24,0.0058352558013299305,0.003232909202338328,0.008469570120185321,0.010497922235179388,0.015625200608298317,0.006330650057755619,0.004042300998318345,0.8600000000000136,4.570000000000022,1,1
CSCO,2019-11-13,0.113,0.862,0.025,1,48.46,0.0018606574322928005,0.0022788891136228486,0.0008198463614142115,-0.0024919545902844322,0.007799362449145007,0.00917148184765255,0.010950777011175875,0.09000000000000341,-0.36999999999999744,1,0
CTAS,2019-09-24,0.115,0.858,0.028,1,252.14,-0.00985666601217361,-0.004401819463844908,0.0017694422056448555,0.0009860609543804004,0.015137447971948563,0.007611601413663938,0.0098513721684454,-2.5100000000000193,0.7199999999999989,0,1
CTL,2019-11-06,0.135,0.859,0.006,1,13.36,-0.022677395757132457,0.0063237861243874705,0.007361572313642939,0.0011875265310246075,0.018595159809225974,0.020836645574309927,0.02372730388073828,-0.3100000000000005,0.03999999999999915,0,1
CTSH,2019-10-30,0.127,0.848,0.024,1,59.89,-0.009263854425144769,-0.0006461249829954144,-0.0015183534511371555,-0.003138886292283094,0.008442074043367973,0.005177336355469277,0.006382629962686166,-0.5600000000000023,-0.5700000000000003,0,0
CTXS,2019-10-24,0.111,0.879,0.01,1,107.77,0.03954856757017455,0.00992991343574228,0.0135858699334527,0.014745535683300651,0.010833260211849204,0.016271927451630863,0.022434676381145664,4.099999999999994,4.579999999999998,1,1
CVS,2019-11-06,0.107,0.882,0.011,1,70.93,0.05362448009506848,0.006560796559843772,0.011579976225413758,0.018313382858699916,0.01872429323548513,0.026074193232025467,0.032580514850624395,3.6100000000000136,3.690000000000012,1,1
CVX,2019-11-01,0.105,0.874,0.021,1,116.21,0.0006027208541414808,0.0008233870555853043,-0.004165324116782276,-0.005423818960437532,0.00816552900778186,0.006184367341318141,0.00837230222466237,0.06999999999999318,-1.9200000000000017,1,0
CXO,2019-10-30,0.134,0.854,0.012,1,66.83,0.006172839506172867,0.001394720749213263,0.004273895160736218,0.005186924358919505,0.016496129683918063,0.01241663597091049,0.01717344401553139,0.4099999999999966,1.0100000000000051,1,1
D,2019-11-01,0.099,0.89,0.011,1,83.27,0.008721986674742555,0.0015019018237048265,0.0033652914060111616,0.006207902877696421,0.0060063931843095985,0.006598841289941812,0.004637450492519143,0.7199999999999989,1.5300000000000011,1,1
DAL,2019-10-10,0.133,0.851,0.016,1,53.1,-0.015207715133531141,-0.007176867654530646,0.0011029852417854702,-0.0015574607286829394,0.01805419564868021,0.014416918786285836,0.014424883875420468,-0.8200000000000003,-0.259999999999998,0,0
DFS,2019-10-22,0.123,0.859,0.018,1,81.15,0.00882645450024877,0.003508807567178788,0.005551335058956108,0.008055999132959993,0.013640917834551429,0.00994260866273901,0.011350629737361844,0.710000000000008,1.9200000000000017,1,1
DGX,2019-10-22,0.137,0.849,0.015,1,100.75,-0.01495893625342204,-0.003174136418982315,-0.007817922344620998,-0.012808528829082344,0.01188196166810631,0.011418116873249213,0.008244863257209568,-1.5300000000000011,-3.980000000000004,0,0
DHR,2019-10-24,0.134,0.854,0.012,1,136.44,-0.014517876489707371,0.000533041808439827,-0.0019014119470638802,-0.004281060313738316,0.00816431540881168,0.009583378252463269,0.01274525730288821,-2.009999999999991,-1.789999999999992,0,0
DIS,2019-08-06,0.101,0.871,0.028,1,141.87,0.025813449023861068,0.0012814637224921877,-0.004119166663261398,0.00025442078724591255,0.013674540673012273,0.01872702970089182,0.024961500101442307,3.569999999999993,0.020000000000010232,1,1
